name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
valiram group,valiram.com,1935.0,retail,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/valiram,337,791
f&n holdings,fn.com.my,1883.0,food & beverages,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/f&n-holdings,337,640
u mobile,u.com.my,2006.0,telecommunications,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/umobile,337,750
malaysia digital economy corporation (mdec),mdec.my,1996.0,information technology and services,501 - 1000,"cyberjaya, selangor, malaysia",malaysia,linkedin.com/company/mdec-,331,598
ijm land berhad,ijmland.com,1989.0,architecture & planning,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/ijm-land-berhad,330,505
universiti malaysia kelantan,umk.edu.my,,education management,501 - 1000,"kota bharu, kelantan, malaysia",malaysia,linkedin.com/company/universiti-malaysia-kelantan,327,389
lotte chemical titan (m) sdn. bhd. (formerly known as titan petchem (m) sdn. bhd.),lottechem.my,1989.0,chemicals,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/titan-petchem-m-sdn--bhd-,317,571
the university of nottingham malaysia campus,nottingham.edu.my,2000.0,education management,501 - 1000,"semenyih, selangor, malaysia",malaysia,linkedin.com/company/the-university-of-nottingham-malaysia-campus,316,791
cimb wealth advisors,cwealthadvisors.com.my,1990.0,financial services,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/cimb-wealth-advisors,314,455
help university,help.edu.my,1986.0,education management,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/help-university-college,313,726
wct berhad,wct.com.my,1981.0,construction,501 - 1000,"shah alam, selangor, malaysia",malaysia,linkedin.com/company/wct-berhad,305,480
axiata,,1992.0,telecommunications,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/axiata,303,633
sunway construction group berhad,sunway.com.my,1976.0,construction,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/sunwayconstruction,302,627
indah water konsortium,iwk.com.my,1994.0,utilities,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/indah-water-konsortium,300,507
universiti malaysia sarawak,unimas.my,1992.0,education management,501 - 1000,,malaysia,linkedin.com/company/universiti-malaysia-sarawak_2,298,474
syarikat takaful malaysia berhad,takaful-malaysia.com.my,1984.0,insurance,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/syarikat-takaful-malaysia-berhad,290,490
asia pacific university of technology and innovation (apu / apiit),apu.edu.my,1993.0,education management,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/asia-pacific-university-of-technology-and-innovation-apu-apiit-,290,702
khazanah nasional berhad,khazanah.com.my,1965.0,investment management,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/khazanah-nasional,289,750
kolej poly-tech mara,kptm.edu.my,2003.0,education management,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/kolej-poly-tech-mara,289,352
bursa malaysia,bursamalaysia.com,,financial services,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/bursa-malaysia,285,653
cimb-principal asset management,cimb-principal.com.my,,investment management,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/cimb-principal-asset-management,274,498
ucsi,ucsiuniversity.edu.my,,education management,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/ucsi,271,524
unitar international university,unitar.my,1997.0,higher education,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/unitar-international-university,266,403
s p setia berhad,spsetia.com,1974.0,real estate,501 - 1000,"shah alam, selangor, malaysia",malaysia,linkedin.com/company/s-p-setia-berhad,261,417
top glove,topglove.com.my,1991.0,medical devices,501 - 1000,"klang, selangor, malaysia",malaysia,linkedin.com/company/top-glove,260,623
malaysian communications and multimedia commission,skmm.gov.my,1998.0,telecommunications,501 - 1000,"cyberjaya, selangor, malaysia",malaysia,linkedin.com/company/malaysian-communications-and-multimedia-commission,259,351
gamuda land,"www,gamudaland.com.my",1995.0,real estate,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/gamuda-land,258,341
hitachi ebworx sdn bhd,hitachi-ebworx.com,1998.0,information technology and services,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/hitachi-ebworx,258,639
mimos berhad,mimos.my,1984.0,research,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/mimos-berhad,257,516
port of tanjung pelepas,ptp.com.my,1995.0,maritime,501 - 1000,"gelang patah, johor, malaysia",malaysia,linkedin.com/company/port-of-tanjung-pelepas,254,419
hotel management,hotelmanagement.biz,2004.0,hospitality,501 - 1000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/hotel-management,254,331
maa,maa.my,1999.0,insurance,501 - 1000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/maa,250,309
